name,description,formula
1. Newton's Second Law of Motion: F = ma,"Newton's Second Law of Motion states that the force (F) applied to an object is equal to the mass (m) of the object multiplied by its acceleration (a). This law can be expressed mathematically as F = ma. This law is often referred to as the law of inertia, as it states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force.","Newton's Second Law of Motion states that the force (F) applied to an object is equal to the mass (m) of the object multiplied by its acceleration (a). This law can be expressed mathematically as F = ma. This law is often referred to as the law of inertia, as it states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force."
2. Ohm's Law: V = IR,Ohm's Law states that the voltage (V) across a conductor is equal to the current (I) multiplied by the resistance (R). This can be expressed mathematically as V = IR.,Ohm's Law states that the voltage (V) across a conductor is equal to the current (I) multiplied by the resistance (R). This can be expressed mathematically as V = IR.
3. Law of Conservation of Energy: E = mc2,"The Law of Conservation of Energy states that energy cannot be created or destroyed, only transformed from one form to another. This law is expressed in the famous equation E = mc2, which states that energy (E) is equal to the mass (m) of an object multiplied by the speed of light (c) squared. This equation is a fundamental law of physics and is used to calculate the amount of energy released in nuclear reactions.","The Law of Conservation of Energy states that energy cannot be created or destroyed, only transformed from one form to another. This law is expressed in the famous equation E = mc2, which states that energy (E) is equal to the mass (m) of an object multiplied by the speed of light (c) squared. This equation is a fundamental law of physics and is used to calculate the amount of energy released in nuclear reactions."
4. Law of Conservation of Momentum: p = mv,"The Law of Conservation of Momentum states that the total momentum of a system remains constant, regardless of any changes that occur within the system. Momentum is a vector quantity, meaning it has both magnitude and direction. Momentum is calculated using the formula p = mv, where p is the momentum, m is the mass of the object, and v is the velocity of the object.","The Law of Conservation of Momentum states that the total momentum of a system remains constant, regardless of any changes that occur within the system. Momentum is a vector quantity, meaning it has both magnitude and direction. Momentum is calculated using the formula p = mv, where p is the momentum, m is the mass of the object, and v is the velocity of the object."
5. Wave Equation: v = fλ,"The Wave Equation is a mathematical expression that describes the relationship between the speed of a wave (v), its frequency (f), and its wavelength (λ). The equation states that the speed of a wave is equal to the product of its frequency and wavelength. Mathematically, this is expressed as v = fλ.","The Wave Equation is a mathematical expression that describes the relationship between the speed of a wave (v), its frequency (f), and its wavelength (λ). The equation states that the speed of a wave is equal to the product of its frequency and wavelength. Mathematically, this is expressed as v = fλ."
6. Bernoulli's Equation: P + ρgh + ½ρv2 = constant,"Bernoulli's Equation is a mathematical equation used to describe the relationship between pressure, density, velocity, and height in a fluid. It states that the sum of the pressure, the product of the density and the height, and one-half of the product of the density and the square of the velocity of a fluid is equal to a constant. Mathematically, it is expressed as: P + ρgh + ½ρv2 = constant, where P is the pressure, ρ is the density, g is the acceleration due to gravity, h is the height, and v is the velocity of the fluid.","Bernoulli's Equation is a mathematical equation used to describe the relationship between pressure, density, velocity, and height in a fluid. It states that the sum of the pressure, the product of the density and the height, and one-half of the product of the density and the square of the velocity of a fluid is equal to a constant. Mathematically, it is expressed as: P + ρgh + ½ρv2 = constant, where P is the pressure, ρ is the density, g is the acceleration due to gravity, h is the height, and v is the velocity of the fluid."
7. Gauss's Law: ∇·E = ρ/ε,"Gauss's Law states that the electric flux through a closed surface is equal to the charge enclosed by the surface divided by the permittivity of the medium. Mathematically, this is expressed as ∇·E = ρ/ε, where ∇·E is the divergence of the electric field, ρ is the enclosed charge, and ε is the permittivity of the medium.","Gauss's Law states that the electric flux through a closed surface is equal to the charge enclosed by the surface divided by the permittivity of the medium. Mathematically, this is expressed as ∇·E = ρ/ε, where ∇·E is the divergence of the electric field, ρ is the enclosed charge, and ε is the permittivity of the medium."
8. Faraday's Law of Induction: ∮E·dl = -dΦ/dt,"Faraday's Law of Induction states that the rate of change of the magnetic flux through a closed loop is equal to the negative of the electric field integral around the loop. This can be expressed mathematically as ∮E·dl = -dΦ/dt, where E is the electric field, dl is an infinitesimal element of the loop, and Φ is the magnetic flux.","Faraday's Law of Induction states that the rate of change of the magnetic flux through a closed loop is equal to the negative of the electric field integral around the loop. This can be expressed mathematically as ∮E·dl = -dΦ/dt, where E is the electric field, dl is an infinitesimal element of the loop, and Φ is the magnetic flux."
9. Planck's Law: E = hf,Planck's Law states that the energy (E) of a photon is equal to the product of Planck's constant (h) and the frequency (f) of the photon. This can be expressed mathematically as E = hf. Planck's Law is an important part of quantum mechanics and is used to describe the behavior of light and other electromagnetic radiation.,Planck's Law states that the energy (E) of a photon is equal to the product of Planck's constant (h) and the frequency (f) of the photon. This can be expressed mathematically as E = hf. Planck's Law is an important part of quantum mechanics and is used to describe the behavior of light and other electromagnetic radiation.
10. Doppler Effect: f′ = f(v ± v0)/(v ± vs),"The Doppler Effect is a phenomenon that occurs when a sound wave is emitted from a moving source. It is characterized by a change in frequency of the sound wave as it moves away from or towards the observer. The formula for the Doppler Effect is f′ = f(v ± v0)/(v ± vs), where f′ is the observed frequency, f is the emitted frequency, v is the velocity of the source, v0 is the velocity of the observer, and vs is the velocity of sound.","The Doppler Effect is a phenomenon that occurs when a sound wave is emitted from a moving source. It is characterized by a change in frequency of the sound wave as it moves away from or towards the observer. The formula for the Doppler Effect is f′ = f(v ± v0)/(v ± vs), where f′ is the observed frequency, f is the emitted frequency, v is the velocity of the source, v0 is the velocity of the observer, and vs is the velocity of sound."
1. Avogadro's Law,"Avogadro's Law states that the volume of a gas is directly proportional to the number of moles of the gas present, when the temperature and pressure are held constant. This can be expressed mathematically as V ∝ n, where V is the volume of the gas and n is the number of moles of the gas.","Avogadro's Law states that the volume of a gas is directly proportional to the number of moles of the gas present, when the temperature and pressure are held constant. This can be expressed mathematically as V ∝ n, where V is the volume of the gas and n is the number of moles of the gas."
2. Dalton's Law of Partial Pressures,"Dalton's Law of Partial Pressures states that the total pressure exerted by a mixture of gases is equal to the sum of the partial pressures of each individual gas. This law can be expressed mathematically as Ptotal = P1 + P2 + P3 + ..., where Ptotal is the total pressure of the mixture, and P1, P2, P3, etc. are the partial pressures of each individual gas.","Dalton's Law of Partial Pressures states that the total pressure exerted by a mixture of gases is equal to the sum of the partial pressures of each individual gas. This law can be expressed mathematically as Ptotal = P1 + P2 + P3 + ..., where Ptotal is the total pressure of the mixture, and P1, P2, P3, etc. are the partial pressures of each individual gas."
3. Boyle's Law,"Boyle's Law states that the volume of a gas is inversely proportional to its pressure when temperature is held constant. Mathematically, this can be expressed as:

V ∝ 1/P
or
V = k/P

where V is the volume of the gas, P is the pressure of the gas, and k is a constant.","Boyle's Law states that the volume of a gas is inversely proportional to its pressure when temperature is held constant. Mathematically, this can be expressed as:

V ∝ 1/P
or
V = k/P

where V is the volume of the gas, P is the pressure of the gas, and k is a constant."
4. Charles' Law,"Charles' Law states that the volume of a given mass of gas is directly proportional to its absolute temperature when pressure is held constant. Mathematically, this can be expressed as V1/T1 = V2/T2, where V1 and T1 are the initial volume and temperature of the gas, and V2 and T2 are the final volume and temperature of the gas.","Charles' Law states that the volume of a given mass of gas is directly proportional to its absolute temperature when pressure is held constant. Mathematically, this can be expressed as V1/T1 = V2/T2, where V1 and T1 are the initial volume and temperature of the gas, and V2 and T2 are the final volume and temperature of the gas."
5. The Ideal Gas Law,"The Ideal Gas Law is a mathematical equation that describes the behavior of an ideal gas. It states that the pressure, volume, and temperature of an ideal gas are directly proportional to each other. The equation is PV = nRT, where P is the pressure of the gas, V is the volume of the gas, n is the number of moles of the gas, R is the ideal gas constant, and T is the temperature of the gas.","The Ideal Gas Law is a mathematical equation that describes the behavior of an ideal gas. It states that the pressure, volume, and temperature of an ideal gas are directly proportional to each other. The equation is PV = nRT, where P is the pressure of the gas, V is the volume of the gas, n is the number of moles of the gas, R is the ideal gas constant, and T is the temperature of the gas."
6. Hess's Law,Hess's Law states that the enthalpy change of a reaction is independent of the pathway taken to reach the products. This means that the enthalpy change of a reaction is the same regardless of the number of steps taken to reach the products. The formula for Hess's Law is ΔH = ΣΔHf (products) - ΣΔHf (reactants).,Hess's Law states that the enthalpy change of a reaction is independent of the pathway taken to reach the products. This means that the enthalpy change of a reaction is the same regardless of the number of steps taken to reach the products. The formula for Hess's Law is ΔH = ΣΔHf (products) - ΣΔHf (reactants).
